症狀,推薦穴位,來源,頁碼
腸鳴,內庭（配合谷）,針灸五輸穴應用發揮,
腹內腸鳴,陷谷（配下脘）,針灸五輸穴應用發揮,
腹瀉、肩脅痛,三間,針灸五輸穴應用發揮,
腹瀉腹脹,陷谷,針灸五輸穴應用發揮,
腹滿嘔吐，悶亂,大都,針灸五輸穴應用發揮,
腹瀉、肩脅痛,三間,針灸五輸穴應用發揮,
腹痛便溏,,針灸五輸穴應用發揮,
腹痛洩瀉,陷谷、太沖,針灸五輸穴應用發揮,
腹脹、便秘、胃腸痙攣,解溪,針灸五輸穴應用發揮,
腹脹、嘔吐,足三里,針灸五輸穴應用發揮,
腹脹、嘔吐,足三里,針灸五輸穴應用發揮,
腹脹便溏,,針灸五輸穴應用發揮,
腹脹便溏,,針灸五輸穴應用發揮,
腹脹,內庭（配合谷）,針灸五輸穴應用發揮,
腿疼刺而即輕,後溪環跳,針灸五輸穴應用發揮,
腿足紅腫,崑崙,針灸五輸穴應用發揮,
腿足紅腫,崑崙,針灸五輸穴應用發揮,
腿足紅腫，腎虛火上炎之牙痛，五更洩,崑崙,針灸五輸穴應用發揮,
膀胱泌尿系統病變,申時生人易患，相關穴位未明確指定,針灸五輸穴應用發揮,
膀胱經實證,束骨,針灸五輸穴應用發揮,
膀胱經虛證,至陰,針灸五輸穴應用發揮,
膝關節炎,二間與行間穴相對,針灸五輸穴應用發揮,
膝關節疼痛及扭傷,曲池,針灸五輸穴應用發揮,
膝內側疼痛,,針灸五輸穴應用發揮,
膝外側疼痛,,針灸五輸穴應用發揮,
膝痛,陰谷,針灸五輸穴應用發揮,
膝痛,太沖,針灸五輸穴應用發揮,
膝痛、膝腫，腳痛、腳腫,行間配足三里或申脈、金門,針灸五輸穴應用發揮,
膝痛及股關節痛,京骨,針灸五輸穴應用發揮,
膝痛並強心,內關配太沖,針灸五輸穴應用發揮,
膝痛膝腫,陰陵泉、足三里、陽陵泉,針灸五輸穴應用發揮,
膝蓋扭傷疼痛，蹲下困難,對側尺澤,針灸五輸穴應用發揮,
膝腫,行間,針灸五輸穴應用發揮,
膝腫目疾,行間,針灸五輸穴應用發揮,
膝蓋痛,陽陵泉,針灸五輸穴應用發揮,
膝關節病變,陽陵泉,針灸五輸穴應用發揮,
膽囊炎,陽陵泉,針灸五輸穴應用發揮,
膽囊炎發作,丘墟配背俞膽俞穴,針灸五輸穴應用發揮,
膽經實證；膽經外感實證極效，對於傷風感冒之偏頭痛尤具特效,陽輔穴,針灸五輸穴應用發揮,
臂外側痛手腕痛,陷谷,針灸五輸穴應用發揮,
自汗,魚際,針灸五輸穴應用發揮,
舌上生苔,合谷當,針灸五輸穴應用發揮,
舌強、腹痛、嘔吐、身體沉重無力、便秘、黃疸、下肢內側痛、瘧疾,"太白, 豐隆",針灸五輸穴應用發揮,
舌本強痛,脾經經穴商丘,針灸五輸穴應用發揮,
舌本強痛,商丘,針灸五輸穴應用發揮,
舌緩不語，最適合初發中風（卒僕昏沉、痰涎壅盛、不省人事、牙關緊閉、藥水不下、口苦咽乾）,關衝配啞門,針灸五輸穴應用發揮,
蕁麻疹,點刺後溪出血，加刺曲池、足三里清瀉陽明、調和營衛,針灸五輸穴應用發揮,
蕁麻疹、溼疹、皮炎、皮膚瘙癢症、丹毒、癤腫,曲池,針灸五輸穴應用發揮,
蕁麻疹突如其來，極瘙癢，皮膚髮紅疹,取心經滎穴少府可立刻止癢,針灸五輸穴應用發揮,
藥物注射後遺症引起的區域性肌肉痙攣、水腫並激發坐骨神經痛,陽陵泉,針灸五輸穴應用發揮,
落枕,至陰、少澤,針灸五輸穴應用發揮,
落枕,後溪,針灸五輸穴應用發揮,
落枕,崑崙,針灸五輸穴應用發揮,
落枕,陽陵泉,針灸五輸穴應用發揮,
落枕、頸椎病,後溪,針灸五輸穴應用發揮,
落枕，頸部左右上下轉動皆不適而疼痛,手足太陽經之輸穴後溪、束骨並針,針灸五輸穴應用發揮,
血栓脈管炎、腦血栓形成、出血性疾病如腦出血、咯血等,太淵,針灸五輸穴應用發揮,
血液迴圈及血液系統病變,戌時生人易得，相關穴位未明確指定,針灸五輸穴應用發揮,
衄血,崑崙、京骨,針灸五輸穴應用發揮,
衄血,束骨、通谷,針灸五輸穴應用發揮,
行步艱楚,足三里、太沖,針灸五輸穴應用發揮,
行步艱難,中封,針灸五輸穴應用發揮,
行步艱難,太沖、足三里,針灸五輸穴應用發揮,
行步艱難,中封（配太沖或足三里更佳）,針灸五輸穴應用發揮,
行經頭暈少腹痛,內庭,針灸五輸穴應用發揮,
表熱證,陽溪，可與商陽、二間等穴同用,針灸五輸穴應用發揮,
補膽虛，治暈眩有卓效,俠溪穴,針灸五輸穴應用發揮,
"視力減退, 眩暈, 神經衰弱, 遺精, 膝關節風溼疼痛",曲泉,針灸五輸穴應用發揮,
許多胃心臟病,內關配足三里,針灸五輸穴應用發揮,
語言無力,商丘,針灸五輸穴應用發揮,
說話的聲音低小或者沙啞或者咳嗽,五行屬金的穴位,針灸五輸穴應用發揮,
諸熱瞀瘈,湧泉、委中,針灸五輸穴應用發揮,
調理肝脾之要穴,太沖,針灸五輸穴應用發揮,
赤眼迎香出血奇,臨泣太沖合谷侶,針灸五輸穴應用發揮,
足下垂,崑崙,針灸五輸穴應用發揮,
足內側公孫點疼痛,風火家人吉卦，巽卦為肺經之卦，在對側同等距離之肺經魚際穴下針,針灸五輸穴應用發揮,
足寒膝臏腫,厲兌,針灸五輸穴應用發揮,
足緩難行,衝陽（配絕骨、條口）,針灸五輸穴應用發揮,
足腫難行；腿足紅腫；腳膝經年痛不休；兩足痺麻,配崑崙、申脈或僕參、內庭,針灸五輸穴應用發揮,
足膝紅腫,陰陵泉,針灸五輸穴應用發揮,
足跟痛,從合谷進針向腳跟點透刺，行捻轉手法,針灸五輸穴應用發揮,
足跟痛、骨刺,復溜,針灸五輸穴應用發揮,
足跟腫痛,崑崙,針灸五輸穴應用發揮,
足部踝骨解溪穴處疼痛,對側大腸經陽溪穴,針灸五輸穴應用發揮,
跗蹠關節風溼、扭挫,衝陽（ST 42）配絕骨、條口,針灸五輸穴應用發揮,
踝關節炎、腰痛、坐骨神經痛,丘墟、崑崙一帶,針灸五輸穴應用發揮,
踝內側疼痛,,針灸五輸穴應用發揮,
踝外側疼痛,,針灸五輸穴應用發揮,
躁狂越,湧泉、委中,針灸五輸穴應用發揮,
身形消瘦,,針灸五輸穴應用發揮,
身熱,滎穴,針灸五輸穴應用發揮,
身熱,滎穴,針灸五輸穴應用發揮,
身熱,取肺滎魚際、脾榮大都、心榮少腑、腎滎然谷、心包榮勞宮、肝滎行間等陰經之滎穴，胃滎內庭、膽滎俠溪、大腸滎二間、小腸滎前谷、膀胱榮通谷、三焦滎液門等陽經滎穴,針灸五輸穴應用發揮,
身熱,滎穴,針灸五輸穴應用發揮,
身體困重、腹部脹滿、黃疸等濕盛之證,商丘穴,針灸五輸穴應用發揮,
轉筋、胸脅病,丘墟,針灸五輸穴應用發揮,
轉筋（木主筋）、胸脅病（木之病所）,丘墟,針灸五輸穴應用發揮,
辰巳時頭痛及太陽穴痛,公孫、陷谷,針灸五輸穴應用發揮,
運動系統不利之病，五十肩及半身不遂,尺澤,針灸五輸穴應用發揮,
逆衝上,湧泉、委中,針灸五輸穴應用發揮,
逆氣而洩,合穴,針灸五輸穴應用發揮,
逆氣而洩,合穴,針灸五輸穴應用發揮,
逆氣而洩,合穴屬水,針灸五輸穴應用發揮,
逆氣而洩之病，喘、脹、悶,合穴,針灸五輸穴應用發揮,
運動系統障礙及病變,陽陵泉,針灸五輸穴應用發揮,
遺尿,少府配關元、足三里,針灸五輸穴應用發揮,
金實木鬱,,針灸五輸穴應用發揮,
金氣不能升,經渠,針灸五輸穴應用發揮,
長期腹中冷、完谷不化,然谷、崑崙配合應用,針灸五輸穴應用發揮,
閃挫岔氣,復溜,針灸五輸穴應用發揮,
陽痿,大敦,針灸五輸穴應用發揮,
陽痿,陰谷,針灸五輸穴應用發揮,
陽痿、疝氣及血崩,大敦,針灸五輸穴應用發揮,
"陰部與腎水有關之病,如尿道炎、淋病、陰囊水腫等",曲泉,針灸五輸穴應用發揮,
陰部病,太沖,針灸五輸穴應用發揮,
難產,至陰,針灸五輸穴應用發揮,
難產,內庭、至陰,針灸五輸穴應用發揮,
霍亂,內庭（配中脘、三里）,針灸五輸穴應用發揮,
青筋,委中、尺澤、太陽等穴處刺血,針灸五輸穴應用發揮,
面浮足腫,,針灸五輸穴應用發揮,
面肌抽搐,後溪透勞宮,針灸五輸穴應用發揮,
面肌痙攣,"三間, 後溪",針灸五輸穴應用發揮,
面腫,內庭（配合谷）,針灸五輸穴應用發揮,
面色憔悴,,針灸五輸穴應用發揮,
面色無華,,針灸五輸穴應用發揮,
面色萎黃,,針灸五輸穴應用發揮,
頭及陰部,井穴,針灸五輸穴應用發揮,
頭常暈痛、頸項強硬、性情急躁、血壓偏高、舌赤、脈弦,取肝經井穴大敦點刺出血以瀉肝風，並可取子經心經井穴少沖點刺出血以瀉火,針灸五輸穴應用發揮,
頭面之風病（如三叉神經痛、顏面神經震顫）,合谷,針灸五輸穴應用發揮,
頭面病,針至陰,針灸五輸穴應用發揮,
頸項強硬、彎腰不便、腿彎難伸等皆有療效,後溪,針灸五輸穴應用發揮,
顛頂痛（嚴陰頭痛也），癇症、風證,湧泉,針灸五輸穴應用發揮,
項強不可俯仰,刺足太陽。委中新識均可,針灸五輸穴應用發揮,
項強不能俯仰,束骨,針灸五輸穴應用發揮,
項強傷寒,溫溜、期門,針灸五輸穴應用發揮,
頸椎骨刺,束骨與後溪或風市並用,針灸五輸穴應用發揮,
頸肩痛、腰痛、臀痛、坐骨神經痛,後溪、腕骨,針灸五輸穴應用發揮,
頸項強痛,列缺、崑崙,針灸五輸穴應用發揮,
頸項強硬,束骨,針灸五輸穴應用發揮,
頸項強硬、彎腰不便、腿彎難伸,後溪,針灸五輸穴應用發揮,
頸項強硬、彎腰不便、腿彎難伸等,後溪,針灸五輸穴應用發揮,
頸項強硬不能回顧,後溪,針灸五輸穴應用發揮,
頸項肩臂痛,前谷,針灸五輸穴應用發揮,
頷腫口噤,陽谷（小腸經經穴）,針灸五輸穴應用發揮,
頷腫口噤,陽穀俠溪,針灸五輸穴應用發揮,
頷腫口噤,陽穀（小腸）俠溪（膽）,針灸五輸穴應用發揮,
頷腫口噤,俠溪配陽穀,針灸五輸穴應用發揮,
頷腫喉閉,少商,針灸五輸穴應用發揮,
顏面神經麻痺,太沖,針灸五輸穴應用發揮,
顏面麻痺,衝陽（ST 42）,針灸五輸穴應用發揮,
顳頜關節功能紊亂之張口不靈,太沖穴向後貼骨刺治,針灸五輸穴應用發揮,
顳頷關節紊亂,太沖,針灸五輸穴應用發揮,
顳頷關節紊亂症,足三里,針灸五輸穴應用發揮,
顳頷關節紊亂症、張口難開、彈響,陷谷,針灸五輸穴應用發揮,
顫證,曲澤,針灸五輸穴應用發揮,
顴紅唇赤,,針灸五輸穴應用發揮,
風疹塊,內庭（配厲兌、陷谷、衝陽、解溪）,針灸五輸穴應用發揮,
風氣面浮,配厲兌、內庭、陷谷、衝陽,針灸五輸穴應用發揮,
風水面腫及頦部、下頜、前頸病變,解溪,針灸五輸穴應用發揮,
風溼性疾病,曲池配三陰交,針灸五輸穴應用發揮,
風溼病，尤其是膝痛,太沖穴,針灸五輸穴應用發揮,
風溼筋肉疼痛,取輸穴,針灸五輸穴應用發揮,
風溼筋肉疼痛之病,輸穴,針灸五輸穴應用發揮,
風火牙痛、虛火牙痛,合谷、足三里加針太沖,針灸五輸穴應用發揮,
風疹塊、氣喘,後溪至腕骨一帶刺血,針灸五輸穴應用發揮,
風病如痙攣抽搐、面肌痙攣（顏面神經震顫）,後溪透勞宮甚效,針灸五輸穴應用發揮,
風痙身反折,足太陽及胭中血絡出血,針灸五輸穴應用發揮,
風痙身反折,先取太陽及膕中，及血絡出血,針灸五輸穴應用發揮,
風痰之病，難治病、痼疾,曲澤放血,針灸五輸穴應用發揮,
風邪感冒,商陽,針灸五輸穴應用發揮,
食少倦怠,,針灸五輸穴應用發揮,
食慾不振,,針灸五輸穴應用發揮,
食慾不振,衝陽（ST 42）,針灸五輸穴應用發揮,
驚悸、怔忡,解溪（配陽交）,針灸五輸穴應用發揮,
驚狂面腫喉痺風,厲兌,針灸五輸穴應用發揮,
驚駭、抽搐、握拳,肝經之滎穴六行間,針灸五輸穴應用發揮,
骨刺、牙根痛,復溜、太溪穴,針灸五輸穴應用發揮,
骨鯁喉間,大陵,針灸五輸穴應用發揮,
髀樞痛,丘墟,針灸五輸穴應用發揮,
高熱,少衝點刺，配曲池針刺,針灸五輸穴應用發揮,
高熱無汗、陽明火鬱內則發熱無汗,陷谷（ST 43）,針灸五輸穴應用發揮,
高脂血症,足三里,針灸五輸穴應用發揮,
高血壓,少商,針灸五輸穴應用發揮,
高血壓,少陽部位視青筋放血,針灸五輸穴應用發揮,
高血壓,曲池,針灸五輸穴應用發揮,
高血壓,崑崙、京骨,針灸五輸穴應用發揮,
高血壓,束骨、通谷,針灸五輸穴應用發揮,
高血壓,太沖，加刺曲池、陽陵泉則效更佳,針灸五輸穴應用發揮,
鶴膝風,陰陵泉,針灸五輸穴應用發揮,
黃疸,腕骨,針灸五輸穴應用發揮,
黃疸,腕骨配中脘或至陽,針灸五輸穴應用發揮,
鼻出血,毫針瀉血，配迎香、風府,針灸五輸穴應用發揮,
鼻出血、眼病、耳鳴,合谷,針灸五輸穴應用發揮,
鼻出血、面神經麻痺、神經衰弱、下肢前側痛、瘧疾、腹脹,"衝陽, 神門",針灸五輸穴應用發揮,
鼻塞、鼻壽、鼻淵,合谷配太沖,針灸五輸穴應用發揮,
鼻子出血,,針灸五輸穴應用發揮,
鼻寒鼻壽及鼻淵,合谷太沖隨手取,針灸五輸穴應用發揮,
鼻炎鼻塞,陷谷（ST 43）,針灸五輸穴應用發揮,
鼻病,肺大腸經穴,針灸五輸穴應用發揮,
鼻病,足三里,針灸五輸穴應用發揮,
鼻病,合谷和太沖（開四關）,針灸五輸穴應用發揮,
鼻病（鼻蓄膿及鼻炎）,合谷、迎香,針灸五輸穴應用發揮,
鼻病，許多大病，頭暈、高血壓,合谷配太沖或曲池（大腸）太沖（肝）,針灸五輸穴應用發揮,
鼻衄,少商、商陽,針灸五輸穴應用發揮,
鼻衄,少商點刺出血,針灸五輸穴應用發揮,
鼻衄,針刺湧泉,針灸五輸穴應用發揮,
鼻衄、牙痛、痿證、蕁麻疹等,尺澤,針灸五輸穴應用發揮,
齒疼痛，目昏眼疾及肩背風勞（配腎俞）、手上諸風、食物艱難,三間,針灸五輸穴應用發揮,
齒痛,昆侖（膀胱經經穴）,針灸五輸穴應用發揮,
齒痛,崑崙,針灸五輸穴應用發揮,
齒痛,二間配太溪,針灸五輸穴應用發揮,
齒齦炎、牙神經痛、頷下淋巴腺炎、腮腺炎、咽喉炎、口乾、目黃、鼻流清涕、肩前側痛,"合谷, 列缺",針灸五輸穴應用發揮,
一切婦科病,制汙穴,董氏奇穴原理結構,
三叉神經疼痛,陷谷,董氏奇穴原理結構,
三叉神經疼痛,陰陵泉與內庭穴倒馬並用,董氏奇穴原理結構,
三叉神經痛,大白,董氏奇穴原理結構,
三叉神經痛,一重穴，二重穴，三重穴，側三里穴，側下三里穴，外三關穴,董氏奇穴原理結構,
三叉神經痛,太陽穴刺血,董氏奇穴原理結構,
三叉神經痛,耳尖、耳背,董氏奇穴原理結構,
上臂痛,下腰刺血,董氏奇穴原理結構,
下腰,心門穴,董氏奇穴原理結構,
下腹病,三陰交,董氏奇穴原理結構,
下腹痛,三間穴、大白穴,董氏奇穴原理結構,
不孕,還巢,董氏奇穴原理結構,
不孕症,督脈相關穴位,董氏奇穴原理結構,
中指、無名指疼痛及伸屈不靈,木鬥穴，木留穴,董氏奇穴原理結構,
中指下（代號D區）肌肉凹陷，彈性薄弱,,董氏奇穴原理結構,
中耳炎,照海、中封,董氏奇穴原理結構,
中風,十二井,董氏奇穴原理結構,
中風及暈厥,井穴,董氏奇穴原理結構,
中風後遺症,木火穴,董氏奇穴原理結構,
中風後遺症,一重穴，二重穴，三重穴，側三里穴，側下三里穴，外三關穴,董氏奇穴原理結構,
中風後遺症,三稜針刺血,董氏奇穴原理結構,
中風後遺症，治療半身不遂,靈骨,董氏奇穴原理結構,
中風昏厥,井穴,董氏奇穴原理結構,
臨時頭痛,四腑一、四腑二及上裡,董氏奇穴原理結構,
丹毒,三稜針刺血,董氏奇穴原理結構,
久年胃病,四花上（足三里）、四花中（條口）,董氏奇穴原理結構,
久年膝痛,魄戶、膏肓,董氏奇穴原理結構,
久痺,傍針刺、齊刺,董氏奇穴原理結構,
乳房腫痛,四花中、副,董氏奇穴原理結構,
乳炎,分枝下穴,董氏奇穴原理結構,
乳病,指駟馬穴,董氏奇穴原理結構,
乳癰及頭暈,曲池、靈骨,董氏奇穴原理結構,
乳痛,曲池,董氏奇穴原理結構,
乳腺炎,梁丘或解穴，亦可取門金,董氏奇穴原理結構,
五十肩,天皇穴,董氏奇穴原理結構,
五十肩,瀉尺澤,董氏奇穴原理結構,
五十肩,曲澤、尺澤,董氏奇穴原理結構,
五十肩,"天皇穴,腎關穴",董氏奇穴原理結構,
五十肩之肩臂強硬不舉,"曲陵穴（尺澤穴貼筋）位於大筋旁, 貼筋針刺",董氏奇穴原理結構,
五十肩之肩臂強硬不舉,尺澤穴（曲陵穴）,董氏奇穴原理結構,
五十肩（肩不能往後轉，能伸不能收）,,董氏奇穴原理結構,
五十肩（肩關節周圍炎）,尺澤,董氏奇穴原理結構,
五十肩（肩臂不能伸）,天皇穴（陰陵泉穴）,董氏奇穴原理結構,
五官疾患,五官部諸穴,董氏奇穴原理結構,
五官病,木穴、三叉三,董氏奇穴原理結構,
五官面目鼻喉病變,三叉三,董氏奇穴原理結構,
五更瀉,太溪,董氏奇穴原理結構,
低燒,氣海、中脘、四花上、大椎、脾俞,董氏奇穴原理結構,
體質為血壓低,,董氏奇穴原理結構,
體重節痛,輸穴,董氏奇穴原理結構,
側三里、側下三里治療以單側為主，不必兩邊皆取,A項,董氏奇穴原理結構,
側肩痛（少陽部位）,中渚牽引,董氏奇穴原理結構,
側面（少陽經）之坐骨神經痛,中渚,董氏奇穴原理結構,
便秘,左側火串（支溝）,董氏奇穴原理結構,
便秘,左側火串,董氏奇穴原理結構,
便秘,上巨虛、天樞、四花上（足三里）,董氏奇穴原理結構,
便秘,針刺三陰交,董氏奇穴原理結構,
便秘,支溝，嚴重者可配合照海、足三里、天樞等穴，配大陵，外關治腹痛秘結者。,董氏奇穴原理結構,
便秘,太溪,董氏奇穴原理結構,
便秘及尾骶痛,支溝穴及搏球穴,董氏奇穴原理結構,
偏頭痛,一重穴，二重穴，三重穴，側三里穴，側下三里穴，外三關穴,董氏奇穴原理結構,
偏頭痛,太陽穴刺血,董氏奇穴原理結構,
偏頭痛,側三里和側下三里,董氏奇穴原理結構,
偏頭痛,四花外；太陽,董氏奇穴原理結構,
偏頭痛,太陽穴點刺出血,董氏奇穴原理結構,
偏頭痛、腹瀉,陷谷,董氏奇穴原理結構,
偏頭痛（太陽穴）,陷谷，更有效的是門金,董氏奇穴原理結構,
偏正頭痛,門金,董氏奇穴原理結構,
偏紅,大魚際,董氏奇穴原理結構,
偷針眼,脾俞、胃俞，耳後靜脈，曲池,董氏奇穴原理結構,
全身多處疼痛,風市穴或加中瀆穴倒馬,董氏奇穴原理結構,
全身多處疼痛,風市穴或加中瀆穴倒馬,董氏奇穴原理結構,
全身拘急攣縮的病變,"曲陵穴（尺澤穴貼筋）位於大筋旁, 貼筋針刺",董氏奇穴原理結構,
全身拘急攣縮的病變,尺澤穴（曲陵穴）,董氏奇穴原理結構,
全身疲勞,背面,董氏奇穴原理結構,
全身骨腫,五虎穴,董氏奇穴原理結構,
全身骨腫,五虎穴，位於陰掌大指第一節A線，貼骨進針,董氏奇穴原理結構,
全身麻木,木鬥穴，木留穴,董氏奇穴原理結構,
關節屈伸不利的痛痺,太沖,董氏奇穴原理結構,
內傷、久年胃病、胃潰瘍,生命線靠魚際側緣上段,董氏奇穴原理結構,
內傷、久年胃病、胃潰瘍,生命線靠魚際側上段,董氏奇穴原理結構,
再生障礙性貧血,四花上、人皇、通胃、隱白、膈俞,董氏奇穴原理結構,
再生障礙性貧血,下三皇配上三黃，或三重、木鬥、木留,董氏奇穴原理結構,
冠心病,曲澤、尺澤,董氏奇穴原理結構,
冠心病,,董氏奇穴原理結構,
衝疝症,督脈相關穴位,董氏奇穴原理結構,
出黃水治腎臟病，出黑血治手腕及手背痛、肩凝、五十肩、蕁麻疹、乳腺炎等,肩峰，相當於肩偶穴附近部位,董氏奇穴原理結構,
利尿，治水溼腫滿,天皇（陰陵泉）,董氏奇穴原理結構,
前列腺炎,五間穴,董氏奇穴原理結構,
前頭疼痛,門金、內庭,董氏奇穴原理結構,
前頭痛,陰陵泉,董氏奇穴原理結構,
前頭痛,四腑一、二及上裡；四花中,董氏奇穴原理結構,
前頭痛,"天皇穴,腎關穴,火菊穴,火連穴",董氏奇穴原理結構,
前頭痛（眉稜骨痛、鼻骨痛、陽明頭痛）,天皇穴或腎關穴，火菊穴，四花中點刺，五虎一、五虎三,董氏奇穴原理結構,
前頭（陽明頭痛）,火菊,董氏奇穴原理結構,
功能性子宮出血,四花上、人皇、通胃、隱白、膈俞,董氏奇穴原理結構,
功能障礙：目不能開合,針水曲、門金或三叉三穴,董氏奇穴原理結構,
化痰,豐隆（四花中）、四花上（足三里）,董氏奇穴原理結構,
十二指腸,內庭至解溪上青筋點刺，外踝附近點刺,董氏奇穴原理結構,
十二指腸潰瘍,內庭至解溪上青筋點刺，外踝附近點刺,董氏奇穴原理結構,
十二指腸潰瘍,生命線靠魚際側緣下段,董氏奇穴原理結構,
十二指腸潰瘍,生命線下段,董氏奇穴原理結構,
半身不遂,"曲陵穴（尺澤穴貼筋）位於大筋旁, 貼筋針刺",董氏奇穴原理結構,
半身不遂,尺澤穴（曲陵穴）,董氏奇穴原理結構,
半身不遂,穴名未提及，但七里穴與中九里並用有效,董氏奇穴原理結構,
半身不遂,靈骨穴，再加針下三皇穴,董氏奇穴原理結構,
半身不遂,內通關穴,董氏奇穴原理結構,
卒中,十二井穴,董氏奇穴原理結構,
原發性血小板減少性紫癜,下三皇配上三黃，或三重、木鬥、木留,董氏奇穴原理結構,
厥逆,湧泉,董氏奇穴原理結構,
雙腳底疼痛,先針一側風市，活動對側腳底，起針後再針另一側風市，活動另一側腳底；或者雙側風市一起進針，捻左側風市時，病人家庭成員或醫師幫助揉按右側腳底；捻右側風市時，病人家庭成員或醫師幫助揉按左側腳底。,董氏奇穴原理結構,
雙膝痛,針雙內關，再針雙太沖,董氏奇穴原理結構,
雙膝風溼痛,雙背三金穴點刺出血少許，再以毫針在雙內關針刺,董氏奇穴原理結構,
發青,生命線起點,董氏奇穴原理結構,
發青,生命線尾端及與魚際相連處,董氏奇穴原理結構,
發黑,整條生命線,董氏奇穴原理結構,
口不能張，口腔白斑,太陽穴、尺澤點刺,董氏奇穴原理結構,
"口喉不能發聲, 發音無力、吞嚥困難、嘔吐等前面口部之病","啞門, 總樞穴",董氏奇穴原理結構,
口乾,,董氏奇穴原理結構,
口乾、腎虧病,指腎穴,董氏奇穴原理結構,
口歪眼斜,火主穴,董氏奇穴原理結構,
口歪眼斜,口腔刺血,董氏奇穴原理結構,
口渴及頸部病（如強硬、落枕、疼痛等）,承漿穴,董氏奇穴原理結構,
口眼歪斜,上巨虛、四花上（足三里）,董氏奇穴原理結構,
口眼歪斜,,董氏奇穴原理結構,
口眼歪斜,足三里至少針二寸，針尖向上斜刺,董氏奇穴原理結構,
口腔炎,掌根大陵穴,董氏奇穴原理結構,
口臭,掌根大陵穴,董氏奇穴原理結構,
右側坐骨神經痛,左側靈骨、大白,董氏奇穴原理結構,
右肘三焦經處（少陽經）痛,側三里、側下三里，中渚,董氏奇穴原理結構,
右肘少陽經處痛,陽陵泉、中渚,董氏奇穴原理結構,
右肩痛,"左腎關, 右側同經腧穴",董氏奇穴原理結構,
右肩痛,豐隆、中渚,董氏奇穴原理結構,
各種痧症,五金，五嶺,董氏奇穴原理結構,
各種頭痛尤其是偏頭痛,風市穴,董氏奇穴原理結構,
後頭痛,沖霄放血，正筋、正宗穴針刺，委中刺血,董氏奇穴原理結構,
後頭（腦）脹痛,沖霄；委中,董氏奇穴原理結構,
後肩痛（太陽部位）,後溪牽引,董氏奇穴原理結構,
呃逆,陷谷配合屏息,董氏奇穴原理結構,
呈細小紅點，漫散全身各處,刺其結上甚血者，雖無結，急取之，以瀉其邪而出血,董氏奇穴原理結構,
嘔吐,針水通或水金，必須兩邊皆針,董氏奇穴原理結構,
嘔吐,風府點刺,董氏奇穴原理結構,
嘔吐（五臟不安）,七星（總樞），五嶺,董氏奇穴原理結構,
嘔吐（五臟不安）、感冒頭痛、小兒高燒、小兒各種風症、中風失語、吞嚥不適,總樞（風府）、分樞（啞門）,董氏奇穴原理結構,
呼吸困難、胸悶,支溝,董氏奇穴原理結構,
呼吸系統功能差，鼻喉不適，胸悶不爽,,董氏奇穴原理結構,
咯血,地士（孔最）、土水（魚際）、曲陵（尺澤）,董氏奇穴原理結構,
咯血,孔最（配陰郄）,董氏奇穴原理結構,
咳喘,水金穴、水通穴向兩腮皮下斜刺,董氏奇穴原理結構,
咳喘,腎關、土水穴、水金穴,董氏奇穴原理結構,
咳喘,土水穴、水金穴,董氏奇穴原理結構,
咳喘,曲陵穴,董氏奇穴原理結構,
咳喘等肺臟病,"水金, 水通沿皮刺",董氏奇穴原理結構,
咳嗽,配水金,董氏奇穴原理結構,
咳嗽,先針奇穴水金，再按《內經》“朝刺榮，午刺俞，夕刺合，夜刺井”原則，加針魚際、太淵或尺澤等穴,董氏奇穴原理結構,
咳嗽吐血,太淵、尺澤、內關、大陵、郄門,董氏奇穴原理結構,
咳嗽氣喘,針水金或水通穴，採皮下橫針施治,董氏奇穴原理結構,
咽喉炎,穴名未提及,董氏奇穴原理結構,
咽喉痛,三叉三穴與士水二穴合用,董氏奇穴原理結構,
咽喉腫、突然不能出聲,支溝,董氏奇穴原理結構,
咽喉腫痛,五金、千金,董氏奇穴原理結構,
咽喉腫痛,指五金、指千金、商陽,董氏奇穴原理結構,
咽腫痛,少商、土水（魚際）、地士（孔最）、曲陵（尺澤）,董氏奇穴原理結構,
哮喘,孔最（配尺澤或魚際更佳）,董氏奇穴原理結構,
哮喘,曲澤、尺澤,董氏奇穴原理結構,
哮喘,背部五嶺、太陽、尺澤、四花外、後溪至腕骨連線之青筋,董氏奇穴原理結構,
唇生瘡,犢鼻,董氏奇穴原理結構,
喉痛,火主穴,董氏奇穴原理結構,
喉痺,,董氏奇穴原理結構,
喉痺、嘔吐、癲狂、胃痛等足陽明胃經病,豐隆,董氏奇穴原理結構,
喉痺（扁桃體炎）,,董氏奇穴原理結構,
喉部病,百會,董氏奇穴原理結構,
喘嗽寒熱,經穴,董氏奇穴原理結構,
嗌腫、喉痺,支溝（火串）,董氏奇穴原理結構,
四五指間發黑且凹下無力,脾虛，易倦或嗜睡,董氏奇穴原理結構,
四肢疾患,區域性取穴,董氏奇穴原理結構,
四肢痛,通關穴、通山穴、通天穴,董氏奇穴原理結構,
四肢痛,五虎穴,董氏奇穴原理結構,
坐骨神經痛,三間穴、大白穴,董氏奇穴原理結構,
坐骨神經痛,掌根,董氏奇穴原理結構,
坐骨神經痛,靈骨（配大白更佳）,董氏奇穴原理結構,
坐骨神經痛,手五金穴，手千金穴,董氏奇穴原理結構,
坐骨神經痛,穴名,董氏奇穴原理結構,
坐骨神經痛,支溝配外關,董氏奇穴原理結構,
